Date,Close,Log_Returns,VaR_MC
2016-01-28,7424.64990234375,-0.0017628513745914,-0.02114698802388333
2016-01-29,7563.5498046875,0.0185350984938957,-0.02123868402367994
2016-02-01,7555.9501953125,-0.0010052726631166,-0.02187480105684938
2016-02-02,7455.5498046875,-0.0133766629206659,-0.021298284513307928
2016-02-03,7361.7998046875,-0.0126542537612866,-0.021053206698836698
2016-02-04,7404.0,0.005715953184809,-0.02166048758729273
2016-02-05,7489.10009765625,0.0114282484242265,-0.021861697114938777
2016-02-08,7387.25,-0.0136931019234252,-0.021591320776632457
2016-02-09,7298.2001953125,-0.012127772043135,-0.02158195475470126
2016-02-10,7215.7001953125,-0.011368534484495,-0.02137934584116549
2016-02-11,6976.35009765625,-0.0337333633197819,-0.021526564655587086
2016-02-12,6980.9501953125,0.0006591672782349,-0.0215363778389767
2016-02-15,7162.9501953125,0.0257368959166137,-0.021610535311784487
2016-02-16,7048.25,-0.0161425754990748,-0.021575543080786023
2016-02-17,7108.4501953125,0.0085048856518307,-0.02177688997140936
2016-02-18,7191.75,0.0116502910075185,-0.022168086487901535
2016-02-19,7210.75,0.0026384323585623,-0.022131817175498874
2016-02-22,7234.5498046875,0.003295165423269,-0.021739783310007983
2016-02-23,7109.5498046875,-0.0174292103005059,-0.022954200985021236
2016-02-24,7018.7001953125,-0.0128608796700014,-0.02204207054715781
2016-02-25,6970.60009765625,-0.006876725240095,-0.02255328640924749
2016-02-26,7029.75,0.0084498250215755,-0.022468632157460238
2016-02-29,6987.0498046875,-0.0060927355742289,-0.021918729102716524
2016-03-01,7222.2998046875,0.0331150269508819,-0.022300170282921982
2016-03-02,7368.85009765625,0.0200882345975481,-0.022243757396866147
2016-03-03,7475.60009765625,0.014382727390574,-0.022303900561010816
2016-03-04,7485.35009765625,0.0013033933343828,-0.022660316144065752
2016-03-08,7485.2998046875,-6.718875810813698e-06,-0.022893570474065435
2016-03-09,7531.7998046875,0.0061929600024488,-0.022416353041300848
2016-03-10,7486.14990234375,-0.0060793974986435,-0.022835293962564934
2016-03-11,7510.2001953125,0.0032074889464729,-0.02282824083712622
2016-03-14,7538.75,0.0037942631968658,-0.022292509658372518
2016-03-15,7460.60009765625,-0.010420532757604,-0.021750898883974787
2016-03-16,7498.75,0.0051004869597104,-0.022884015417768567
2016-03-17,7512.5498046875,0.0018385894298917,-0.022550288818526797
2016-03-18,7604.35009765625,0.0121455354001086,-0.022612507091344134
2016-03-21,7704.25,0.0130516598291204,-0.02284016303436085
2016-03-22,7714.89990234375,0.0013813866658977,-0.022395169947918604
2016-03-23,7716.5,0.0002073820485646,-0.022563809421544106
2016-03-28,7615.10009765625,-0.0132277622974579,-0.022775965561727222
2016-03-29,7597.0,-0.0023796985402065,-0.022095006418962438
2016-03-30,7735.2001953125,0.0180279329159478,-0.022268717692000155
