Date,Close,Log_Returns,VaR_VCV
2014-01-03,6211.14990234375,-0.0016087131606754,-0.02438568074206773
2014-01-06,6191.4501953125,-0.0031767086647526,-0.02438568074206773
2014-01-07,6162.25,-0.0047273690038389,-0.02438568074206773
2014-01-08,6174.60009765625,0.0020021483091771,-0.02438568074206773
2014-01-09,6168.35009765625,-0.0010127239331396,-0.02438568074206773
2014-01-10,6171.4501953125,0.0005024550880677,-0.02438568074206773
2014-01-13,6272.75,0.016281004922037,-0.02438568074206773
2014-01-14,6241.85009765625,-0.004938226534857,-0.02438568074206773
2014-01-15,6320.89990234375,0.0125849591878064,-0.02438568074206773
2014-01-16,6318.89990234375,-0.0003164607110232,-0.02438568074206773
2014-01-17,6261.64990234375,-0.0091014138624697,-0.02438568074206773
2014-01-20,6303.9501953125,0.0067327389744132,-0.02438568074206773
2014-01-21,6313.7998046875,0.0015612310238598,-0.02438568074206773
2014-01-22,6338.9501953125,0.0039754873445066,-0.02438568074206773
2014-01-23,6345.64990234375,0.0010563529953923,-0.02438568074206773
2014-01-24,6266.75,-0.012511644446641,-0.02438568074206773
2014-01-27,6135.85009765625,-0.0211092451629749,-0.02438568074206773
2014-01-28,6126.25,-0.001565816547123,-0.02438568074206773
2014-01-29,6120.25,-0.000979871878508,-0.02438568074206773
2014-01-30,6073.7001953125,-0.0076349386484663,-0.02438568074206773
2014-01-31,6089.5,0.0025979698303823,-0.02438568074206773
2014-02-03,6001.7998046875,-0.0145065848502963,-0.02438568074206773
2014-02-04,6000.89990234375,-0.0001499499891527,-0.02438568074206773
2014-02-05,6022.39990234375,0.0035763930477856,-0.02438568074206773
2014-02-06,6036.2998046875,0.0023053743500808,-0.02438568074206773
2014-02-07,6063.2001953125,0.0044465366250114,-0.02438568074206773
2014-02-10,6053.4501953125,-0.0016093560167322,-0.02438568074206773
2014-02-11,6062.7001953125,0.0015268879138819,-0.02438568074206773
2014-02-12,6084.0,0.0035070967714394,-0.02438568074206773
2014-02-13,6001.10009765625,-0.0137195723661018,-0.02438568074206773
2014-02-14,6048.35009765625,0.0078427216881646,-0.02438568074206773
2014-02-18,6127.10009765625,0.0129360470308722,-0.02438568074206773
2014-02-19,6152.75,0.0041775655962216,-0.02438568074206773
2014-02-20,6091.4501953125,-0.0100129556630914,-0.02438568074206773
2014-02-21,6155.4501953125,0.0104517193024489,-0.02438568074206773
2014-02-24,6186.10009765625,0.0049669554681356,-0.02438568074206773
2014-02-25,6200.0498046875,0.002252469579198,-0.02438568074206773
2014-02-26,6238.7998046875,0.006230499856538,-0.02438568074206773
2014-02-28,6276.9501953125,0.006096399941408,-0.02438568074206773
2014-03-03,6221.4501953125,-0.0088811948832916,-0.02438568074206773
2014-03-04,6297.9501953125,0.012221184683582,-0.02438568074206773
2014-03-05,6328.64990234375,0.0048627132066446,-0.02438568074206773
2014-03-06,6401.14990234375,0.0113907186299378,-0.02438568074206773
2014-03-07,6526.64990234375,0.0194161333744402,-0.02438568074206773
2014-03-10,6537.25,0.0016228078999031,-0.02438568074206773
2014-03-11,6511.89990234375,-0.0038853304216658,-0.02438568074206773
2014-03-12,6516.89990234375,0.0007675304433891,-0.02438568074206773
2014-03-13,6493.10009765625,-0.0036586981147299,-0.02438568074206773
2014-03-14,6504.2001953125,0.0017080624598547,-0.02438568074206773
2014-03-18,6516.64990234375,0.0019122731206803,-0.02438568074206773
2014-03-19,6524.0498046875,0.0011348935723144,-0.02438568074206773
2014-03-20,6483.10009765625,-0.0062965127072204,-0.02438568074206773
2014-03-21,6493.2001953125,0.0015566994394178,-0.02438568074206773
2014-03-24,6583.5,0.0138110132801641,-0.02438568074206773
2014-03-25,6589.75,0.0009488927134847,-0.02438568074206773
2014-03-26,6601.39990234375,0.0017663214289679,-0.02438568074206773
2014-03-27,6641.75,0.0060937500241843,-0.02438568074206773
2014-03-28,6695.89990234375,0.0081199012211458,-0.02438568074206773
2014-03-31,6704.2001953125,0.001238840601162,-0.02438568074206773
2014-04-01,6721.0498046875,0.0025101384662722,-0.02438568074206773
2014-04-02,6752.5498046875,0.0046758191284211,-0.02438568074206773
2014-04-03,6736.10009765625,-0.0024390454649215,-0.02438568074206773
2014-04-04,6694.35009765625,-0.0062172352939061,-0.02438568074206773
2014-04-07,6695.0498046875,0.0001045165633993,-0.02438568074206773
2014-04-09,6796.2001953125,0.0149952429886004,-0.02438568074206773
2014-04-10,6796.39990234375,2.9384669574600685e-05,-0.02438568074206773
2014-04-11,6776.2998046875,-0.0029618444059262,-0.02438568074206773
2014-04-15,6733.10009765625,-0.0063955252775563,-0.02438568074206773
2014-04-16,6675.2998046875,-0.0086215583395539,-0.02438568074206773
2014-04-17,6779.39990234375,0.0154744702186573,-0.02438568074206773
2014-04-21,6817.64990234375,0.0056262353154806,-0.02438568074206773
2014-04-22,6815.35009765625,-0.0003373879130515,-0.02438568074206773
2014-04-23,6840.7998046875,0.0037272198497921,-0.02438568074206773
2014-04-25,6782.75,-0.0085220308717785,-0.02438568074206773
2014-04-28,6761.25,-0.0031748402332101,-0.02438568074206773
2014-04-29,6715.25,-0.0068267248394148,-0.02438568074206773
2014-04-30,6696.39990234375,-0.0028110053879877,-0.02438568074206773
2014-05-02,6694.7998046875,-0.0002389774925132,-0.02438568074206773
2014-05-05,6699.35009765625,0.0006794448586849,-0.02438568074206773
2014-05-06,6715.2998046875,0.0023779546485698,-0.02438568074206773
2014-05-07,6652.5498046875,-0.00938826553698,-0.02438568074206773
2014-05-08,6659.85009765625,0.0010967659857117,-0.02438568074206773
2014-05-09,6858.7998046875,0.0294354944067975,-0.02438568074206773
2014-05-12,7014.25,0.022411323236137,-0.02438568074206773
2014-05-13,7108.75,0.0133826255563677,-0.02438568074206773
2014-05-14,7108.75,0.0,-0.02438568074206773
2014-05-15,7123.14990234375,0.0020236099686651,-0.02438568074206773
2014-05-16,7203.0,0.0111475762996884,-0.02438568074206773
2014-05-19,7263.5498046875,0.0083710572442195,-0.02438568074206773
2014-05-20,7275.5,0.0016438760667509,-0.02438568074206773
2014-05-21,7252.89990234375,-0.0031111637947278,-0.02438568074206773
2014-05-22,7276.39990234375,0.0032348455614986,-0.02438568074206773
2014-05-23,7367.10009765625,0.0123879339257308,-0.02438568074206773
2014-05-26,7359.0498046875,-0.0010933331283551,-0.02438568074206773
2014-05-27,7318.0,-0.0055937551853276,-0.02438568074206773
2014-05-28,7329.64990234375,0.0015906858612653,-0.02438568074206773
2014-05-29,7235.64990234375,-0.0129075688563909,-0.02438568074206773
2014-05-30,7229.9501953125,-0.0007880360700878,-0.02438568074206773
2014-06-02,7362.5,0.0181674014459035,-0.02438568074206773
2014-06-03,7415.85009765625,0.0072200657126577,-0.02438568074206773
2014-06-04,7402.25,-0.0018356066412509,-0.02438568074206773
2014-06-05,7474.10009765625,0.0096597157069769,-0.02438568074206773
2014-06-06,7583.39990234375,0.0145179112652755,-0.02438568074206773
2014-06-09,7654.60009765625,0.0093451520517447,-0.02438568074206773
2014-06-10,7656.39990234375,0.000235099561856,-0.02438568074206773
2014-06-11,7626.85009765625,-0.0038669578145882,-0.02438568074206773
2014-06-12,7649.89990234375,0.0030176342715146,-0.02438568074206773
2014-06-13,7542.10009765625,-0.0141918923130048,-0.02438568074206773
2014-06-16,7533.5498046875,-0.0011343184460937,-0.02438568074206773
2014-06-17,7631.7001953125,0.012944298456771,-0.02438568074206773
2014-06-18,7558.2001953125,-0.00967755834425,-0.02438568074206773
2014-06-19,7540.7001953125,-0.0023180506372521,-0.02438568074206773
2014-06-20,7511.4501953125,-0.0038864927679996,-0.02438568074206773
2014-06-23,7493.35009765625,-0.0024125754534784,-0.02438568074206773
2014-06-24,7580.2001953125,0.0115236367100271,-0.02438568074206773
2014-06-25,7569.25,-0.0014456230527611,-0.02438568074206773
2014-06-26,7493.2001953125,-0.0100980185737845,-0.02438568074206773
2014-06-27,7508.7998046875,0.0020796713768032,-0.02438568074206773
2014-06-30,7611.35009765625,0.0135649270841934,-0.02438568074206773
2014-07-01,7634.7001953125,0.0030631036189189,-0.02438568074206773
2014-07-02,7725.14990234375,0.0117775566796989,-0.02438568074206773
2014-07-03,7714.7998046875,-0.0013406907927755,-0.02438568074206773
2014-07-04,7751.60009765625,0.0047587496312579,-0.02438568074206773
2014-07-07,7787.14990234375,0.0045756404744881,-0.02438568074206773
2014-07-08,7623.2001953125,-0.0212786720700075,-0.02438568074206773
2014-07-09,7585.0,-0.0050236418721478,-0.02438568074206773
2014-07-10,7567.75,-0.0022768154231857,-0.02438568074206773
2014-07-11,7459.60009765625,-0.0143939908108035,-0.02438568074206773
2014-07-14,7454.14990234375,-0.0007308953891714,-0.02438568074206773
2014-07-15,7526.64990234375,0.0096791315499086,-0.02438568074206773
2014-07-16,7624.39990234375,0.0129035753371523,-0.02438568074206773
2014-07-17,7640.4501953125,0.0021029094659831,-0.02438568074206773
2014-07-18,7663.89990234375,0.0030644522939827,-0.02438568074206773
2014-07-21,7684.2001953125,0.0026453182709969,-0.02438568074206773
2014-07-22,7767.85009765625,0.0108271352893742,-0.02438568074206773
2014-07-23,7795.75,0.0035852800193615,-0.02438568074206773
2014-07-24,7830.60009765625,0.0044604344864124,-0.02438568074206773
2014-07-25,7790.4501953125,-0.0051404982383654,-0.02438568074206773
2014-07-28,7748.7001953125,-0.0053735370867808,-0.02438568074206773
2014-07-30,7791.39990234375,0.0054954362228235,-0.02438568074206773
2014-07-31,7721.2998046875,-0.0090378304410446,-0.02438568074206773
2014-08-01,7602.60009765625,-0.0154924114512466,-0.02438568074206773
2014-08-04,7683.64990234375,0.0106043750702756,-0.02438568074206773
2014-08-05,7746.5498046875,0.0081528757822249,-0.02438568074206773
2014-08-06,7672.0498046875,-0.0096637284407389,-0.02438568074206773
2014-08-07,7649.25,-0.0029762254910542,-0.02438568074206773
2014-08-08,7568.5498046875,-0.0106061260948779,-0.02438568074206773
2014-08-11,7625.9501953125,0.0075554527865405,-0.02438568074206773
2014-08-12,7727.0498046875,0.0131702039624014,-0.02438568074206773
2014-08-13,7739.5498046875,0.001616386670279,-0.02438568074206773
2014-08-14,7791.7001953125,0.0067155684981506,-0.02438568074206773
2014-08-18,7874.25,0.0105388524419296,-0.02438568074206773
2014-08-19,7897.5,0.0029483116130798,-0.02438568074206773
2014-08-20,7875.2998046875,-0.0028149992705591,-0.02438568074206773
2014-08-21,7891.10009765625,0.0020043000756105,-0.02438568074206773
2014-08-22,7913.2001953125,0.0027967213545059,-0.02438568074206773
2014-08-25,7906.2998046875,-0.0008723905385931,-0.02438568074206773
2014-08-26,7904.75,-0.0001960407071773,-0.02438568074206773
2014-08-27,7936.0498046875,0.0039518011472649,-0.02438568074206773
2014-08-28,7954.35009765625,0.0023033153566769,-0.02438568074206773
2014-09-01,8027.7001953125,0.0091791242460611,-0.02438568074206773
2014-09-02,8083.0498046875,0.0068711670335596,-0.02438568074206773
2014-09-03,8114.60009765625,0.0038956679592612,-0.02438568074206773
2014-09-04,8095.9501953125,-0.0023009595892866,-0.02438568074206773
2014-09-05,8086.85009765625,-0.0011246630312066,-0.02438568074206773
2014-09-08,8173.89990234375,0.0107068414772985,-0.02438568074206773
2014-09-09,8152.9501953125,-0.0025662903013833,-0.02438568074206773
2014-09-10,8094.10009765625,-0.0072444356329281,-0.02438568074206773
2014-09-11,8085.7001953125,-0.0010383197500981,-0.02438568074206773
2014-09-12,8105.5,0.0024457500763813,-0.02438568074206773
2014-09-15,8042.0,-0.0078650351244085,-0.02438568074206773
2014-09-16,7932.89990234375,-0.0136591521166137,-0.02438568074206773
2014-09-17,7975.5,0.0053556862718972,-0.02438568074206773
2014-09-18,8114.75,0.0173090507143806,-0.02438568074206773
2014-09-19,8121.4501953125,0.0008253403644006,-0.02438568074206773
2014-09-22,8146.2998046875,0.0030550787543243,-0.02438568074206773
2014-09-23,8017.5498046875,-0.0159309479003991,-0.02438568074206773
2014-09-24,8002.39990234375,-0.0018913800776086,-0.02438568074206773
2014-09-25,7911.85009765625,-0.0113798365457159,-0.02438568074206773
2014-09-26,7968.85009765625,0.0071785556145695,-0.02438568074206773
2014-09-29,7958.89990234375,-0.001249416472118,-0.02438568074206773
2014-09-30,7964.7998046875,0.0007410215869771,-0.02438568074206773
2014-10-01,7945.5498046875,-0.0024198097296141,-0.02438568074206773
2014-10-07,7852.39990234375,-0.0117927938243055,-0.02438568074206773
2014-10-08,7842.7001953125,-0.0012360173819577,-0.02438568074206773
2014-10-09,7960.5498046875,0.0149148806783457,-0.02438568074206773
2014-10-10,7859.9501953125,-0.0127177984648417,-0.02438568074206773
2014-10-13,7884.25,0.0030868286329098,-0.02438568074206773
2014-10-14,7864.0,-0.0025717157348472,-0.02438568074206773
2014-10-16,7748.2001953125,-0.01483479931274,-0.02438568074206773
2014-10-17,7779.7001953125,0.0040572186087942,-0.02438568074206773
2014-10-20,7879.39990234375,0.0127339443040601,-0.02438568074206773
2014-10-21,7927.75,0.006117516281268,-0.02438568074206773
2014-10-22,7995.89990234375,0.0085596353672847,-0.02438568074206773
2014-10-27,7991.7001953125,-0.0005253705499506,-0.02438568074206773
2014-10-28,8027.60009765625,0.0044820887038708,-0.02438568074206773
2014-10-29,8090.4501953125,0.0077987616445356,-0.02438568074206773
2014-10-30,8169.2001953125,0.0096866308772769,-0.02438568074206773
2014-10-31,8322.2001953125,0.0185556576560087,-0.02438568074206773
2014-11-03,8324.150390625,0.0002343090530689,-0.02438568074206773
2014-11-05,8338.2998046875,0.0016983597607461,-0.02438568074206773
2014-11-07,8337.0,-0.0001558958106129,-0.02438568074206773
2014-11-10,8344.25,0.0008692394702429,-0.02438568074206773
2014-11-11,8362.650390625,0.0022027303251594,-0.02438568074206773
2014-11-12,8383.2998046875,0.0024661992049072,-0.02438568074206773
2014-11-13,8357.849609375,-0.0030404381788521,-0.02438568074206773
2014-11-14,8389.900390625,0.0038274777659741,-0.02438568074206773
2014-11-17,8430.75,0.004857088011971,-0.02438568074206773
2014-11-18,8425.900390625,-0.000575394208982,-0.02438568074206773
2014-11-19,8382.2998046875,-0.0051880252764123,-0.02438568074206773
2014-11-20,8401.900390625,0.0023356006982236,-0.02438568074206773
2014-11-21,8477.349609375,0.0089399376461338,-0.02438568074206773
2014-11-24,8530.150390625,0.0062091372497189,-0.02438568074206773
2014-11-25,8463.099609375,-0.0078915015338096,-0.02438568074206773
2014-11-26,8475.75,0.0014936543234813,-0.02438568074206773
2014-11-27,8494.2001953125,0.0021744557137674,-0.02438568074206773
2014-11-28,8588.25,0.0110113893394212,-0.02438568074206773
2014-12-01,8555.900390625,-0.0037738408764703,-0.02438568074206773
2014-12-02,8524.7001953125,-0.0036532942570473,-0.02438568074206773
2014-12-03,8537.650390625,0.0015179851960037,-0.02438568074206773
2014-12-04,8564.400390625,0.0031282823512937,-0.02438568074206773
2014-12-05,8538.2998046875,-0.0030522205151575,-0.02438568074206773
2014-12-08,8438.25,-0.0117869607408896,-0.02438568074206773
2014-12-09,8340.7001953125,-0.0116277720181471,-0.02438568074206773
2014-12-10,8355.650390625,0.0017908343779797,-0.02438568074206773
2014-12-11,8292.900390625,-0.0075382293595515,-0.02438568074206773
2014-12-12,8224.099609375,-0.0083309534630779,-0.02438568074206773
2014-12-15,8219.599609375,-0.0005473221143822,-0.02438568074206773
2014-12-16,8067.60009765625,-0.0186654461743745,-0.02438568074206773
2014-12-17,8029.7998046875,-0.0046964556608114,-0.02438568074206773
2014-12-18,8159.2998046875,0.0159987603204074,-0.02438568074206773
2014-12-19,8225.2001953125,0.0080442791656528,-0.02438568074206773
2014-12-22,8324.0,0.0119402723205388,-0.02438568074206773
2014-12-23,8267.0,-0.0068712222608494,-0.02438568074206773
2014-12-24,8174.10009765625,-0.0113010553438477,-0.02438568074206773
2014-12-26,8200.7001953125,0.0032489093702821,-0.02438568074206773
2014-12-29,8246.2998046875,0.0055450509168578,-0.02438568074206773
2014-12-30,8248.25,0.0002364654197514,-0.02438568074206773
2014-12-31,8282.7001953125,0.004167969146088,-0.02438568074206773
2015-01-02,8395.4501953125,0.0135208899126345,-0.02438568074206773
2015-01-05,8378.400390625,-0.0020329035926431,-0.02438568074206773
2015-01-06,8127.35009765625,-0.0304220829180295,-0.02438568074206773
2015-01-07,8102.10009765625,-0.0031116297926513,-0.02438568074206773
2015-01-08,8234.599609375,0.0162214424605465,-0.02438568074206773
2015-01-09,8284.5,0.0060415571776879,-0.02438568074206773
2015-01-12,8323.0,0.0046364677367432,-0.02438568074206773
2015-01-13,8299.400390625,-0.002839496664365,-0.02438568074206773
2015-01-14,8277.5498046875,-0.0026362628028638,-0.02438568074206773
2015-01-15,8494.150390625,0.0258307299503242,-0.02438568074206773
2015-01-16,8513.7998046875,0.002310616221134,-0.02438568074206773
2015-01-19,8550.7001953125,0.0043248203159316,-0.02438568074206773
2015-01-20,8695.599609375,0.016803931894622,-0.02438568074206773
2015-01-21,8729.5,0.0038909887639506,-0.02438568074206773
2015-01-22,8761.400390625,0.0036476596725423,-0.02438568074206773
2015-01-23,8835.599609375,0.0084332168549455,-0.02438568074206773
2015-01-27,8910.5,0.0084413856608369,-0.02438568074206773
2015-01-28,8914.2998046875,0.000426350341849,-0.02438568074206773
2015-01-29,8952.349609375,0.0042593170470792,-0.02438568074206773
