Date,Close,Log_Returns,GARCH_Volatility,VaR_GARCH
2014-01-03,6211.14990234375,-0.0016087131606754,0.007525719986710549,-0.01750482468908874
2014-01-06,6191.4501953125,-0.0031767086647526,0.00727508187937544,-0.016921840451427275
2014-01-07,6162.25,-0.0047273690038389,0.0071102951300608345,-0.016538546472521502
2014-01-08,6174.60009765625,0.0020021483091771,0.007057460067510525,-0.016415652117029483
2014-01-09,6168.35009765625,-0.0010127239331396,0.006815675125979773,-0.015853260343028953
2014-01-10,6171.4501953125,0.0005024550880677,0.006607111531498768,-0.015368141422266135
2014-01-13,6272.75,0.016281004922037,0.006393011826729668,-0.014870145508973209
2014-01-14,6241.85009765625,-0.004938226534857,0.007765989722468617,-0.018063692094462003
2014-01-15,6320.89990234375,0.0125849591878064,0.0076606722084464115,-0.017818723556846355
2014-01-16,6318.89990234375,-0.0003164607110232,0.008179271808176118,-0.01902498622581765
2014-01-17,6261.64990234375,-0.0091014138624697,0.00784967102230967,-0.018258334797892295
2014-01-20,6303.9501953125,0.0067327389744132,0.00811344679886222,-0.018871877254153523
2014-01-21,6313.7998046875,0.0015612310238598,0.007984665843454393,-0.01857233275187492
2014-01-22,6338.9501953125,0.0039754873445066,0.007665347770160083,-0.017829598913392353
2014-01-23,6345.64990234375,0.0010563529953923,0.007428627812408321,-0.017278988291661756
2014-01-24,6266.75,-0.012511644446641,0.0071486657646057964,-0.01662779656847308
2014-01-27,6135.85009765625,-0.0211092451629749,0.00798508514135604,-0.018573308038794152
2014-01-28,6126.25,-0.001565816547123,0.010138333468004355,-0.02358176364657813
2014-01-29,6120.25,-0.000979871878508,0.009689098004252885,-0.022536841957892212
2014-01-30,6073.7001953125,-0.0076349386484663,0.009259934894120308,-0.02153860856372384
2014-01-31,6089.5,0.0025979698303823,0.009207593051730672,-0.021416861438325545
2014-02-03,6001.7998046875,-0.0145065848502963,0.008812663470656958,-0.020498255232748085
2014-02-04,6000.89990234375,-0.0001499499891527,0.009621890985613214,-0.022380518432536335
2014-02-05,6022.39990234375,0.0035763930477856,0.009186068556579038,-0.021366795462602842
2014-02-06,6036.2998046875,0.0023053743500808,0.008815820843922783,-0.020505599282964394
2014-02-07,6063.2001953125,0.0044465366250114,0.008444326788758031,-0.019641504110651183
2014-02-10,6053.4501953125,-0.0016093560167322,0.00816201505191752,-0.018984847010760152
2014-02-11,6062.7001953125,0.0015268879138819,0.007860598061672426,-0.018283751091450064
2014-02-12,6084.0,0.0035070967714394,0.007550344093273281,-0.017562100360953653
2014-02-13,6001.10009765625,-0.0137195723661018,0.007306156992883473,-0.01699412116544696
2014-02-14,6048.35009765625,0.0078427216881646,0.008298690469405078,-0.019302754031836213
2014-02-18,6127.10009765625,0.0129360470308722,0.008232295603282978,-0.01914831957323621
2014-02-19,6152.75,0.0041775655962216,0.008702561919789888,-0.020242159025431278
2014-02-20,6091.4501953125,-0.0100129556630914,0.008389112774157135,-0.019513076312689497
2014-02-21,6155.4501953125,0.0104517193024489,0.00867978908187835,-0.020189189404449043
2014-02-24,6186.10009765625,0.0049669554681356,0.008803377839085982,-0.020476656853713995
2014-02-25,6200.0498046875,0.002252469579198,0.008513956798591264,-0.01980346351352328
2014-02-26,6238.7998046875,0.006230499856538,0.008163838786784179,-0.018989089018060002
2014-02-28,6276.9501953125,0.006096399941408,0.007997595603833101,-0.018602407374515795
2014-03-03,6221.4501953125,-0.0088811948832916,0.007838677336228153,-0.018232763484066685
2014-03-04,6297.9501953125,0.012221184683582,0.008079534197045275,-0.01879299654232731
2014-03-05,6328.64990234375,0.0048627132066446,0.008484158357415372,-0.019734152339348155
2014-03-06,6401.14990234375,0.0113907186299378,0.00821644039200759,-0.019111440351809655
2014-03-07,6526.64990234375,0.0194161333744402,0.00850226668507944,-0.019776272309494778
2014-03-10,6537.25,0.0016228078999031,0.00989910681960607,-0.02302532246240372
2014-03-11,6511.89990234375,-0.0038853304216658,0.009442552102624627,-0.021963376190704886
2014-03-12,6516.89990234375,0.0007675304433891,0.00912634253617642,-0.021227872739146354
2014-03-13,6493.10009765625,-0.0036586981147299,0.008720675311554757,-0.020284290774676365
2014-03-14,6504.2001953125,0.0017080624598547,0.00845335042308667,-0.019662493084099595
2014-03-18,6516.64990234375,0.0019122731206803,0.008100572258714694,-0.018841931073770378
