Date,Close,Log_Returns
2014-01-03,6211.14990234375,-0.001608713160675422
2014-01-06,6191.4501953125,-0.0031767086647526764
2014-01-07,6162.25,-0.004727369003838941
2014-01-08,6174.60009765625,0.0020021483091771735
2014-01-09,6168.35009765625,-0.0010127239331396106
2014-01-10,6171.4501953125,0.0005024550880677336
2014-01-13,6272.75,0.01628100492203701
2014-01-14,6241.85009765625,-0.004938226534857065
2014-01-15,6320.89990234375,0.012584959187806487
2014-01-16,6318.89990234375,-0.0003164607110232277
2014-01-17,6261.64990234375,-0.009101413862469748
2014-01-20,6303.9501953125,0.006732738974413205
2014-01-21,6313.7998046875,0.00156123102385989
2014-01-22,6338.9501953125,0.0039754873445066955
2014-01-23,6345.64990234375,0.0010563529953923905
2014-01-24,6266.75,-0.012511644446641086
2014-01-27,6135.85009765625,-0.02110924516297498
2014-01-28,6126.25,-0.0015658165471230908
2014-01-29,6120.25,-0.0009798718785080376
2014-01-30,6073.7001953125,-0.007634938648466337
2014-01-31,6089.5,0.002597969830382306
2014-02-03,6001.7998046875,-0.014506584850296355
2014-02-04,6000.89990234375,-0.00014994998915273514
2014-02-05,6022.39990234375,0.0035763930477856866
2014-02-06,6036.2998046875,0.0023053743500808565
2014-02-07,6063.2001953125,0.004446536625011425
2014-02-10,6053.4501953125,-0.0016093560167322405
2014-02-11,6062.7001953125,0.0015268879138819519
2014-02-12,6084.0,0.003507096771439477
2014-02-13,6001.10009765625,-0.013719572366101803
2014-02-14,6048.35009765625,0.007842721688164616
2014-02-18,6127.10009765625,0.012936047030872241
2014-02-19,6152.75,0.004177565596221632
2014-02-20,6091.4501953125,-0.010012955663091487
2014-02-21,6155.4501953125,0.010451719302448996
2014-02-24,6186.10009765625,0.004966955468135648
2014-02-25,6200.0498046875,0.002252469579198007
2014-02-26,6238.7998046875,0.006230499856538058
2014-02-28,6276.9501953125,0.00609639994140803
2014-03-03,6221.4501953125,-0.008881194883291635
2014-03-04,6297.9501953125,0.012221184683582093
2014-03-05,6328.64990234375,0.0048627132066446956
2014-03-06,6401.14990234375,0.011390718629937804
2014-03-07,6526.64990234375,0.01941613337444026
2014-03-10,6537.25,0.0016228078999031938
2014-03-11,6511.89990234375,-0.0038853304216658053
2014-03-12,6516.89990234375,0.0007675304433891083
2014-03-13,6493.10009765625,-0.0036586981147299726
2014-03-14,6504.2001953125,0.00170806245985478
2014-03-18,6516.64990234375,0.0019122731206803513
2014-03-19,6524.0498046875,0.0011348935723144095
2014-03-20,6483.10009765625,-0.006296512707220438
2014-03-21,6493.2001953125,0.001556699439417862
2014-03-24,6583.5,0.013811013280164102
2014-03-25,6589.75,0.0009488927134847534
2014-03-26,6601.39990234375,0.0017663214289679917
2014-03-27,6641.75,0.006093750024184339
2014-03-28,6695.89990234375,0.00811990122114581
2014-03-31,6704.2001953125,0.0012388406011620149
2014-04-01,6721.0498046875,0.0025101384662722147
2014-04-02,6752.5498046875,0.004675819128421151
2014-04-03,6736.10009765625,-0.0024390454649215365
2014-04-04,6694.35009765625,-0.006217235293906131
2014-04-07,6695.0498046875,0.0001045165633993392
2014-04-09,6796.2001953125,0.014995242988600424
2014-04-10,6796.39990234375,2.9384669574600685e-05
2014-04-11,6776.2998046875,-0.0029618444059262942
2014-04-15,6733.10009765625,-0.006395525277556329
2014-04-16,6675.2998046875,-0.008621558339553982
2014-04-17,6779.39990234375,0.015474470218657372
2014-04-21,6817.64990234375,0.005626235315480606
2014-04-22,6815.35009765625,-0.0003373879130515304
2014-04-23,6840.7998046875,0.00372721984979212
2014-04-25,6782.75,-0.008522030871778505
2014-04-28,6761.25,-0.003174840233210194
2014-04-29,6715.25,-0.006826724839414866
2014-04-30,6696.39990234375,-0.0028110053879877397
2014-05-02,6694.7998046875,-0.0002389774925132282
2014-05-05,6699.35009765625,0.0006794448586849589
2014-05-06,6715.2998046875,0.002377954648569805
2014-05-07,6652.5498046875,-0.009388265536980073
2014-05-08,6659.85009765625,0.0010967659857117281
2014-05-09,6858.7998046875,0.029435494406797515
2014-05-12,7014.25,0.02241132323613701
2014-05-13,7108.75,0.013382625556367727
2014-05-14,7108.75,0.0
2014-05-15,7123.14990234375,0.0020236099686651147
2014-05-16,7203.0,0.011147576299688492
2014-05-19,7263.5498046875,0.008371057244219524
2014-05-20,7275.5,0.0016438760667509807
2014-05-21,7252.89990234375,-0.003111163794727852
2014-05-22,7276.39990234375,0.003234845561498608
2014-05-23,7367.10009765625,0.012387933925730808
2014-05-26,7359.0498046875,-0.0010933331283551897
2014-05-27,7318.0,-0.0055937551853276766
2014-05-28,7329.64990234375,0.0015906858612653664
2014-05-29,7235.64990234375,-0.012907568856390952
2014-05-30,7229.9501953125,-0.0007880360700878707
2014-06-02,7362.5,0.018167401445903533
2014-06-03,7415.85009765625,0.007220065712657715
2014-06-04,7402.25,-0.0018356066412509439
2014-06-05,7474.10009765625,0.009659715706976952
2014-06-06,7583.39990234375,0.014517911265275567
2014-06-09,7654.60009765625,0.009345152051744758
2014-06-10,7656.39990234375,0.00023509956185606317
2014-06-11,7626.85009765625,-0.003866957814588266
2014-06-12,7649.89990234375,0.003017634271514681
2014-06-13,7542.10009765625,-0.01419189231300482
2014-06-16,7533.5498046875,-0.0011343184460937106
2014-06-17,7631.7001953125,0.012944298456771088
2014-06-18,7558.2001953125,-0.00967755834425001
2014-06-19,7540.7001953125,-0.002318050637252134
2014-06-20,7511.4501953125,-0.0038864927679996926
2014-06-23,7493.35009765625,-0.002412575453478406
2014-06-24,7580.2001953125,0.011523636710027154
2014-06-25,7569.25,-0.0014456230527611481
2014-06-26,7493.2001953125,-0.010098018573784505
2014-06-27,7508.7998046875,0.0020796713768032227
2014-06-30,7611.35009765625,0.013564927084193412
2014-07-01,7634.7001953125,0.0030631036189189007
2014-07-02,7725.14990234375,0.01177755667969897
2014-07-03,7714.7998046875,-0.00134069079277555
2014-07-04,7751.60009765625,0.004758749631257964
2014-07-07,7787.14990234375,0.004575640474488179
2014-07-08,7623.2001953125,-0.02127867207000753
2014-07-09,7585.0,-0.005023641872147828
2014-07-10,7567.75,-0.0022768154231857557
2014-07-11,7459.60009765625,-0.014393990810803546
2014-07-14,7454.14990234375,-0.0007308953891714673
2014-07-15,7526.64990234375,0.009679131549908635
2014-07-16,7624.39990234375,0.012903575337152367
2014-07-17,7640.4501953125,0.002102909465983186
2014-07-18,7663.89990234375,0.0030644522939827193
2014-07-21,7684.2001953125,0.0026453182709969426
2014-07-22,7767.85009765625,0.01082713528937421
2014-07-23,7795.75,0.0035852800193615086
2014-07-24,7830.60009765625,0.004460434486412476
2014-07-25,7790.4501953125,-0.005140498238365478
